car,move
J,2
J,-1
J,2
P,1
AB,-1
J,-1
J,1
AL,-1
AB,1
O,1
L,1
AH,1
AA,-1
AD,1
K,1
AA,1
AB,-1
AB,1
O,-1
AQ,-1
AJ,-1
K,-1
AA,-2
L,-1
J,-2
AL,1
AJ,1
AJ,-1
AA,1
O,1
H,1
AB,-1
AA,-1
G,-1
AB,1
D,1
AQ,1
AD,-1
F,1
AA,2
AE,-1
AE,1
A,-1
E,1
P,1
AB,-1
A,1
AL,-1
Q,-1
A,-1
Q,1
AH,1
AH,-2
AM,-1
P,-1
A,1
C,1
AA,-2
J,1
AM,1
A,-1
AL,1
J,-2
AA,2
L,1
AA,-1
AQ,-1
AL,-1
P,-1
AC,-2
AC,1
P,2
H,-1
AC,-1
C,-1
H,1
B,-1
K,1
AH,2
AH,-2
K,-1
AC,1
AH,2
K,1
H,-1
AA,-1
AA,1
H,1
AD,1
H,-1
AA,-2
AK,-1
AI,-1
AR,-1
E,-1
F,-1
AJ,1
J,-1
AI,-2
N,-1
AI,1
AA,2
M,1
H,1
K,-1
K,1
AA,-2
H,-1
AC,-1
AA,3
H,1
AJ,-1
AP,-1
P,-1
P,1
J,1
AI,-1
AI,1
AA,-2
AQ,1
AG,1
AA,1
P,-2
AR,1
AD,-1
H,-1
J,-1
AC,1
AO,1
AI,1
AA,2
AI,-2
AI,2
AI,-1
AI,-1
AA,-2
AO,-1
H,1
AA,1
AA,1
AK,1
P,2
AA,-3
AC,1
AE,-1
H,-1
AB,1
M,-1
K,-1
U,-1
AB,-1
J,1
AC,-3
AI,3
J,-1
AK,-1
AH,-1
AC,2
AO,1
AG,-1
AO,-1
L,-1
AR,-1
J,1
AM,-1
AE,1
L,1
AG,1
AG,-1
H,1
AD,1
AA,1
AR,1
AP,1
AA,-1
AC,-1
AQ,-2
H,-1
H,1
K,1
AJ,1
H,-1
K,-1
H,1
AD,-1
AM,1
J,-1
AE,-1
AR,-1
AH,1
AI,-2
H,-1
K,1
AI,-1
AE,1
J,1
AI,2
AJ,-1
B,1
AI,1
K,-1
AP,-1
AO,1
AA,1
P,-1
AO,2
AH,-1
P,-1
AH,-1
AO,-2
K,1
AH,2
AQ,2
A,1
AC,-1
AB,1
U,1
AG,1
M,1
P,2
AI,-1
D,-1
P,-2
P,2
AR,1
AA,-1
AG,-1
AD,1
O,-1
AQ,-2
H,1
M,-1
O,1
AB,-1
AO,-1
AO,2
AI,1
O,-1
AO,-1
AD,-1
AQ,2
K,-1
AI,-3
AG,1
M,1
AI,3
AR,-1
AD,1
P,-1
AG,-1
AA,1
O,1
K,1
AQ,-2
D,1
AQ,1
AR,1
AB,1
AQ,1
AK,1
A,-1
AQ,-2
H,-1
P,1
AI,-3
K,-1
AI,1
K,1
P,-1
P,1
AI,2
B,-1
P,-2
AQ,2
AI,-1
P,1
AQ,-2
AO,1
AB,-1
AD,-1
AB,1
AQ,1
AI,1
P,1
AI,-3
K,-1
AI,3
P,-1
P,-1
M,-1
AB,-1
B,1
AH,-1
AH,-1
H,1
AH,2
AD,1
A,1
AI,-1
AI,-1
AQ,-1
AO,-2
AC,1
AI,-1
AA,1
H,-1
AK,-1
D,-1
AI,2
AI,-2
AK,1
AO,2
P,2
U,-1
O,-1
AI,1
AA,-2
AO,-2
U,1
P,-1
K,1
AI,-1
AA,1
AI,3
AD,-1
AK,-1
