,car,move
0,J,-1
1,A,-1
2,C,-1
3,B,-1
4,I,1
5,I,-1
6,J,1
7,B,1
8,J,-1
9,G,-2
10,H,-1
11,I,2
12,H,2
13,E,1
14,D,-1
15,G,2
16,A,1
17,D,1
18,E,-1
19,C,1
20,C,-1
21,H,-1
22,A,-1
23,C,1
24,C,-1
25,A,1
26,I,-2
27,C,1
28,J,1
29,A,-1
30,B,-1
31,B,1
32,A,1
33,A,-1
34,C,-1
35,G,-1
36,F,1
37,J,-1
38,K,-1
39,I,1
40,G,-1
41,I,-1
42,J,1
43,X,1
44,K,1
45,X,-1
46,G,1
47,A,1
48,F,-1
49,A,-1
50,L,-1
51,G,-1
52,G,1
53,L,1
54,J,-1
55,L,-1
56,I,1
57,I,1
58,B,-1
59,H,1
60,E,1
61,E,-1
62,H,-1
63,B,1
64,H,1
65,H,-1
66,G,-1
67,I,-1
68,L,-1
69,J,-1
70,J,-1
71,I,-1
72,I,2
73,I,-2
74,I,2
75,J,2
76,I,-2
77,J,-2
78,I,2
79,H,1
80,E,2
81,D,-1
82,D,1
83,D,-1
84,E,-1
85,E,2
86,D,1
87,E,-1
88,D,-1
89,E,1
90,H,-1
91,I,-1
92,I,-2
93,I,1
94,I,-1
95,H,1
96,E,-2
97,J,2
98,J,-1
99,J,1
100,J,-2
101,E,1
102,E,-1
103,J,1
104,J,2
105,J,-3
106,E,2
107,E,-2
108,E,2
109,H,-1
110,H,1
111,E,-2
112,J,3
113,J,-3
114,J,1
115,J,-1
116,E,1
117,E,1
118,E,-1
119,E,1
120,E,-1
121,E,1
122,H,-1
123,I,1
124,I,1
125,D,1
126,I,1
127,H,1
128,D,-1
129,E,-2
130,J,1
131,J,1
132,L,2
133,L,-2
134,L,1
135,X,1
136,X,-1
137,G,1
138,G,-1
139,G,1
140,A,1
141,D,1
142,A,-1
143,D,-1
144,B,-1
145,L,1
146,F,1
147,F,-1
148,L,-1
149,B,1
150,B,-1
151,D,1
152,E,-1
153,L,1
154,H,-2
155,I,-1
156,H,1
157,B,1
158,B,-1
159,H,-1
160,I,-1
161,I,2
162,I,-2
163,I,2
164,H,1
