,car,move
0,C,-1
1,A,-1
2,A,1
3,C,1
4,A,-1
5,J,-1
6,A,1
7,J,1
8,A,-1
9,B,-1
10,J,-1
11,J,1
12,J,-1
13,B,1
14,J,1
15,C,-1
16,A,1
17,G,-1
18,L,-1
19,A,-1
20,B,-1
21,L,1
22,L,-1
23,L,1
24,L,-1
25,B,1
26,L,1
27,B,-1
28,J,-1
29,J,1
30,F,1
31,K,-1
32,K,1
33,K,-1
34,J,-1
35,K,1
36,F,-1
37,F,1
38,I,2
39,K,-1
40,K,1
41,B,1
42,G,-1
43,H,1
44,H,-1
45,X,1
46,H,1
47,K,-2
48,K,2
49,F,1
50,F,-1
51,K,-1
52,E,1
53,K,-1
54,E,-1
55,K,2
56,H,-1
57,I,-1
58,I,1
59,K,-2
60,K,2
61,I,-2
62,F,-1
63,L,-1
64,L,1
65,I,1
66,L,-1
67,I,1
68,L,1
69,F,1
70,X,-1
71,I,-2
72,I,2
73,G,1
74,B,-1
75,H,1
76,B,1
77,F,-1
78,G,1
79,H,-1
80,C,1
81,A,1
82,H,1
83,H,-1
84,I,-2
85,I,2
86,H,1
87,C,-1
88,H,-1
89,I,-1
90,I,1
91,G,-1
92,A,-1
93,I,-1
94,L,-1
95,B,-1
96,B,1
97,I,1
98,I,-1
99,I,-1
100,B,-1
101,I,2
102,B,1
103,G,-1
104,L,-1
105,J,-1
106,H,1
107,H,-1
108,I,-2
109,I,2
110,I,-1
111,J,-1
112,J,2
113,I,1
114,I,-1
115,L,1
116,I,-1
117,I,2
118,L,-1
119,J,-2
120,I,-2
121,J,3
122,L,1
123,G,1
124,L,1
125,G,-1
126,F,1
127,F,-1
128,J,-1
129,X,1
130,I,1
131,F,1
132,X,-1
133,I,-1
134,I,1
135,I,1
136,F,-1
137,L,-1
138,I,-2
139,L,1
140,I,2
141,L,-2
142,L,1
143,I,-2
144,G,1
145,J,1
146,J,-1
147,B,-1
148,I,2
149,I,-2
150,L,1
151,I,1
152,F,1
153,F,-1
154,G,1
155,G,-1
156,I,-1
157,B,1
158,G,1
159,I,1
160,B,-1
161,I,1
162,B,1
163,H,1
164,G,-2
165,F,1
166,F,-1
167,H,-1
168,I,-1
169,L,-1
170,X,1
171,I,1
172,X,-1
173,G,1
174,I,-1
175,L,1
176,I,-1
177,F,1
178,G,-1
