,car,move
0,J,-1
1,I,2
2,H,1
3,E,1
4,C,1
5,A,-1
6,C,-1
7,C,1
8,A,1
9,A,-1
10,B,-1
11,C,-2
12,D,-1
13,C,1
14,D,1
15,E,-1
16,C,-1
17,B,1
18,G,-2
19,G,2
20,C,1
21,E,1
22,E,-1
23,B,-1
24,B,1
25,E,1
26,E,-1
27,B,-1
28,B,1
29,H,-1
30,I,-1
31,C,-1
32,G,-1
33,B,-1
34,I,1
35,H,1
36,L,-1
37,E,1
38,L,1
39,L,-1
40,B,1
41,A,1
42,D,-1
43,A,-1
44,D,1
45,B,-1
46,B,1
47,G,-1
48,X,1
49,D,-1
50,X,-1
51,D,1
52,E,-1
53,E,1
54,L,-1
55,J,-2
56,E,2
57,E,-2
58,E,1
59,E,-1
60,E,-1
61,H,-1
62,J,1
63,J,-1
64,J,1
65,I,-1
66,I,1
67,H,1
68,J,-1
69,H,-1
70,I,-1
71,I,1
72,J,1
73,I,-1
74,J,1
75,J,-1
76,I,1
77,J,1
78,J,-1
79,J,-1
80,J,1
81,J,-1
82,J,1
83,I,-2
84,J,1
85,I,1
86,J,-1
87,J,-1
88,J,2
89,I,-1
90,I,1
91,L,1
92,I,1
93,H,1
94,L,-1
95,H,-1
96,J,-1
97,H,1
98,E,1
99,D,-1
100,J,1
101,L,2
102,X,1
103,L,-1
104,X,-1
105,G,1
106,A,1
107,A,-1
108,B,-1
109,D,1
110,E,-1
111,E,1
112,D,-1
113,D,1
114,E,-1
115,B,1
116,H,-1
117,A,1
118,A,-1
119,B,-1
120,I,-2
121,L,1
122,G,1
123,G,-1
124,G,1
125,G,-1
126,L,-1
127,I,2
128,H,1
129,L,1
130,H,-2
131,I,-2
132,B,1
133,I,2
134,I,-2
135,J,1
136,A,1
137,J,-1
138,H,1
139,J,1
140,G,1
141,A,-1
142,J,-1
143,G,-2
144,J,1
145,X,1
146,F,1
147,F,-1
148,F,1
149,J,-1
150,X,-1
151,K,-1
152,G,1
153,I,2
154,I,-2
155,B,-1
156,I,1
157,B,1
158,B,-1
159,K,1
